CompNo;ID;GATS8c;RDFC24;TPSA1;MoRSEE28;PEOEVSA7;pIC50;PICpred;Residues
57;2;1.033412;0.005;54.79;0.066;29.562;5.1;5.079135772;0.020864228
58;3;1.137241;0.037;64.02;-0.082;35.126;4.3;4.396674721;-0.096674721
59;4;1.111712;-0.042;54.79;0.044;31.109;5.8;5.478552072;0.321447928
60;5;1.276826;0;54.79;0.034;35.126;5.1;5.263668106;-0.163668106
61;6;0.917084;-0.011;45.56;-0.047;23.999;5.5;5.508961604;-0.008961604
62;7;0.983684;-0.004;45.56;-0.013;29.562;5.2;5.407100204;-0.207100204
63;8;0.904888;-0.004;45.56;-0.166;34.585;5.5;5.101844528;0.398155472
67;12;1.127882;-0.02;54.79;0.173;29.562;4.9;5.434769842;-0.534769842
74;14;1.012383;-0.012;69.35;-0.138;29.562;4.3;4.519632623;-0.219632623
90;16;1.057287;-0.007;54.79;-0.296;29.562;5.1;5.036737647;0.063262353
92;18;1.16691;0.042;64.02;0.212;42.776;4.5;4.32282171;0.17717829
95;19;0.71999;0.047;49.17;0.511;35.15;4.5;4.63230519;-0.13230519
98;20;0.821112;0.006;73.92;0.323;29.941;4.1;4.158806472;-0.058806472
109;23;1.230472;0.025;65.19;0.132;29.438;4.8;4.809691632;-0.009691632
120;24;1.031684;0;43.38;0.314;29.562;5.7;5.670579204;0.029420796
121;25;1.14969;0.012;43.38;0.6;23.521;6;6.02370989;-0.02370989
122;26;1.08174;0.022;43.38;0.572;23.521;5.9;5.84946394;0.05053606
123;27;1.128999;0;43.38;0.564;23.521;6.2;6.070596719;0.129403281
124;28;1.141976;0.024;43.38;0.324;23.521;5.7;5.800348256;-0.100348256
134;31;1.108051;0.019;64.64;0.116;36.734;4.6;4.514922331;0.085077669
136;33;1.084149;0.013;55.41;0.47;23.521;5.7;5.404748869;0.295251131
141;34;1.052503;0.012;34.15;0.221;35.315;5.6;5.770574343;-0.170574343
142;35;1.071764;0.026;34.15;0.419;35.315;5.7;5.779667684;-0.079667684
64;9;1.052336;-0.002;45.56;-0.077;23.999;5.6;5.601582416;-0.001582416
65;10;1.276679;-0.016;54.79;0.184;29.562;5.6;5.600465799;-0.000465799
66;11;1.3181;-0.025;54.79;0.4;41.192;5.3;5.5036671;-0.2036671
68;13;1.236459;0.004;54.79;-0.09;35.126;4.5;5.126429979;-0.626429979
89;15;0.986202;0.019;54.79;-0.179;29.562;5.2;4.804172762;0.395827238
91;17;1.080939;0.04;58.03;0.053;29.562;4.5;4.746615859;-0.246615859
99;21;1.453585;-0.004;37.72;0.426;29.562;6.3;6.511914385;-0.211914385
104;22;1.138128;0;54.79;0.322;42.404;5;5.018801968;-0.018801968
133;30;1.114615;0.002;55.41;-0.031;23.521;5;5.300919815;-0.300919815
135;32;1.148359;0.004;55.41;0.389;23.521;5.8;5.517799879;0.282200121
